CCK81_LARGE_INTESTINE..ACH.000963.	3.4189	0.7503	1.8014	2.0146	1.8156	-9	0	2.3087	0.7254	-9	0.5473	3.4061	4.7212	2.5956	-9	0.3273	0.7094	0.2626	0.7362	0.1157	1.8427	0.6354	2.4283	2.3861	LARGE_INTESTINE
CFPAC1_PANCREAS..ACH.000138.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	PANCREAS
CH157MN_CENTRAL_NERVOUS_SYSTEM..ACH.000025.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	CENTRAL_NERVOUS_SYSTEM
CHAGOK1_LUNG..ACH.000867.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LUNG
CHP126_AUTONOMIC_GANGLIA..ACH.000136.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	AUTONOMIC_GANGLIA
CHP212_AUTONOMIC_GANGLIA..ACH.000120.	5.2114	2.0767	2.3748	5.5723	0.4165	-9	0.7484	0.4609	2.0844	-9	1.1585	5.9257	5.65	5.6249	-9	1.0766	0.86	0.3921	1.0626	0.5689	2.3225	0.6549	3.3596	1.6859	AUTONOMIC_GANGLIA
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000687.	3.8812	0.6551	0.6352	0.5656	0.4621	4.4997	0.02719	0.07477	0.06319	0.2173	0.7237	6.7624	4.9845	0.6039	1.0214	0.8737	0.8997	0.1793	1.6558	0.3438	1.1676	1.0475	4.9059	2.3858	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CJM_SKIN..ACH.000458.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	SKIN
CL11_LARGE_INTESTINE..ACH.000249.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LARGE_INTESTINE
CL14_LARGE_INTESTINE..ACH.000342.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LARGE_INTESTINE
CL34_LARGE_INTESTINE..ACH.000895.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LARGE_INTESTINE
CL40_LARGE_INTESTINE..ACH.000798.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LARGE_INTESTINE
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000641.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE..ACH.000920.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
COLO201_LARGE_INTESTINE..ACH.000253.	4.4923	1.3266	0.8254	4.1926	0.1882	-9	0	0.1412	0.966	0.8895	0.2836	5.1776	5.0094	5.7584	1.4388	0.7973	0.2519	2.6493	2.4944	0.8047	2.0928	0.7751	3.1666	0.3262	LARGE_INTESTINE
COLO320_LARGE_INTESTINE..ACH.000202.	2.8034	2.0584	0.4243	0.02962	0.6266	2.9318	0.1274	0.5138	0.1362	0.8088	0.0876	3.9828	4.3094	0.01305	0.846	0.7197	0.2699	0.2642	2.8689	0.7374	2.7318	1.1074	2.5752	0.8505	LARGE_INTESTINE
COLO668_LUNG..ACH.000803.	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	LUNG
